"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"0400000US33","New Hampshire","551186","2292","399663","2801","151523","2502",
"0600000US3300101060","Alton town, Belknap County, New Hampshire","2419","198","2229","205","190","104",
"0600000US3300103220","Barnstead town, Belknap County, New Hampshire","1836","136","1654","147","182","115",
"0600000US3300104740","Belmont town, Belknap County, New Hampshire","2970","267","2460","257","510","183",
"0600000US3300110660","Center Harbor town, Belknap County, New Hampshire","396","80","362","76","34","33",
"0600000US3300128740","Gilford town, Belknap County, New Hampshire","2957","168","2692","174","265","135",
"0600000US3300128980","Gilmanton town, Belknap County, New Hampshire","1698","158","1593","166","105","81",
"0600000US3300140180","Laconia city, Belknap County, New Hampshire","7088","424","4448","401","2640","416",
"0600000US3300147140","Meredith town, Belknap County, New Hampshire","3133","242","2423","226","710","216",
"0600000US3300151540","New Hampton town, Belknap County, New Hampshire","926","110","809","101","117","51",
"0600000US3300167300","Sanbornton town, Belknap County, New Hampshire","1103","114","883","133","220","111",
"0600000US3300177060","Tilton town, Belknap County, New Hampshire","1592","109","1000","158","592","157",
"0600000US3300300420","Albany town, Carroll County, New Hampshire","374","99","252","69","122","64",
"0600000US3300303700","Bartlett town, Carroll County, New Hampshire","1712","165","1346","195","366","161",
"0600000US3300307940","Brookfield town, Carroll County, New Hampshire","259","65","258","65","1","4",
"0600000US3300311780","Chatham town, Carroll County, New Hampshire","171","47","154","44","17","16",
"0600000US3300314660","Conway town, Carroll County, New Hampshire","4773","297","3314","336","1459","293",
"0600000US3300323380","Eaton town, Carroll County, New Hampshire","182","42","157","38","25","19",
"0600000US3300323620","Effingham town, Carroll County, New Hampshire","545","73","483","67","62","31",
"0600000US3300327700","Freedom town, Carroll County, New Hampshire","608","83","568","87","40","57",
"0600000US3300332500","Hale's location, Carroll County, New Hampshire","111","52","92","38","19","31",
"0600000US3300334500","Hart's Location town, Carroll County, New Hampshire","40","32","40","32","0","12",
"0600000US3300338260","Jackson town, Carroll County, New Hampshire","489","98","382","100","107","59",
"0600000US3300345060","Madison town, Carroll County, New Hampshire","934","108","816","120","118","66",
"0600000US3300349380","Moultonborough town, Carroll County, New Hampshire","2296","189","2078","215","218","108",
"0600000US3300358740","Ossipee town, Carroll County, New Hampshire","1716","190","1324","201","392","118",
"0600000US3300367780","Sandwich town, Carroll County, New Hampshire","909","181","842","181","67","32",
"0600000US3300376100","Tamworth town, Carroll County, New Hampshire","1018","164","703","163","315","130",
"0600000US3300377620","Tuftonboro town, Carroll County, New Hampshire","1047","123","959","134","88","60",
"0600000US3300378180","Wakefield town, Carroll County, New Hampshire","2210","217","2118","215","92","87",
"0600000US3300386420","Wolfeboro town, Carroll County, New Hampshire","2702","256","2054","252","648","232",
"0600000US3300500820","Alstead town, Cheshire County, New Hampshire","734","106","521","84","213","81",
"0600000US3300512260","Chesterfield town, Cheshire County, New Hampshire","1499","130","1250","183","249","135",
"0600000US3300519140","Dublin town, Cheshire County, New Hampshire","610","103","495","97","115","41",
"0600000US3300526500","Fitzwilliam town, Cheshire County, New Hampshire","969","140","919","137","50","30",
"0600000US3300529220","Gilsum town, Cheshire County, New Hampshire","268","38","251","40","17","11",
"0600000US3300534420","Harrisville town, Cheshire County, New Hampshire","412","64","386","64","26","18",
"0600000US3300536660","Hinsdale town, Cheshire County, New Hampshire","1691","148","1340","202","351","133",
"0600000US3300538500","Jaffrey town, Cheshire County, New Hampshire","2063","220","1605","246","458","162",
"0600000US3300539300","Keene city, Cheshire County, New Hampshire","9229","357","4696","385","4533","393",
"0600000US3300545460","Marlborough town, Cheshire County, New Hampshire","919","115","614","116","305","85",
"0600000US3300545700","Marlow town, Cheshire County, New Hampshire","334","67","309","62","25","24",
"0600000US3300550580","Nelson town, Cheshire County, New Hampshire","236","46","210","42","26","14",
"0600000US3300564420","Richmond town, Cheshire County, New Hampshire","433","66","422","67","11","10",
"0600000US3300564580","Rindge town, Cheshire County, New Hampshire","1997","134","1749","157","248","100",
"0600000US3300565700","Roxbury town, Cheshire County, New Hampshire","91","38","86","39","5","6",
"0600000US3300573700","Stoddard town, Cheshire County, New Hampshire","447","51","408","47","39","25",
"0600000US3300574900","Sullivan town, Cheshire County, New Hampshire","279","44","261","43","18","11",
"0600000US3300575300","Surry town, Cheshire County, New Hampshire","376","57","339","53","37","22",
"0600000US3300575700","Swanzey town, Cheshire County, New Hampshire","3200","140","2162","211","1038","236",
"0600000US3300577380","Troy town, Cheshire County, New Hampshire","784","118","605","102","179","77",
"0600000US3300578420","Walpole town, Cheshire County, New Hampshire","1444","151","981","139","463","156",
"0600000US3300582660","Westmoreland town, Cheshire County, New Hampshire","900","161","793","153","107","61",
"0600000US3300585540","Winchester town, Cheshire County, New Hampshire","1604","142","1050","156","554","166",
"0600000US3300702420","Atkinson and Gilmanton Academy grant, Coos County, New Hampshire","0","12","0","12","0","12",
"0600000US3300704100","Beans grant, Coos County, New Hampshire","0","12","0","12","0","12",
"0600000US3300704260","Beans purchase, Coos County, New Hampshire","0","12","0","12","0","12",
"0600000US3300705140","Berlin city, Coos County, New Hampshire","3703","209","2244","228","1459","218",
"0600000US3300708420","Cambridge township, Coos County, New Hampshire","11","14","11","14","0","12",
"0600000US3300710100","Carroll town, Coos County, New Hampshire","383","88","331","83","52","23",
"0600000US3300711220","Chandlers purchase, Coos County, New Hampshire","0","12","0","12","0","12",
"0600000US3300713220","Clarksville town, Coos County, New Hampshire","109","31","103","31","6","5",
"0600000US3300713780","Colebrook town, Coos County, New Hampshire","952","109","674","104","278","90",
"0600000US3300713940","Columbia town, Coos County, New Hampshire","311","57","273","53","38","27",
"0600000US3300716100","Crawfords purchase, Coos County, New Hampshire","0","12","0","12","0","12",
"0600000US3300716660","Cutts grant, Coos County, New Hampshire","0","12","0","12","0","12",
"0600000US3300716820","Dalton town, Coos County, New Hampshire","401","87","329","67","72","47",
