dataset,filepath,varname,vartype,varlabel,nmissing,nunique,is_unique,is_idname
tz_parent_mapping_final.dta,C:\Users\86186\Desktop\Experimental design\stata4\part1\tz_parent_mapping_final.dta,ward_id_10,float,group(region district ward),1397,2379,0,1
tz_parent_mapping_final.dta,C:\Users\86186\Desktop\Experimental design\stata4\part1\tz_parent_mapping_final.dta,region_10,str13,Region (2010),0,25,0,1
tz_parent_mapping_final.dta,C:\Users\86186\Desktop\Experimental design\stata4\part1\tz_parent_mapping_final.dta,district_10,str28,District (2010),0,259,0,1
tz_parent_mapping_final.dta,C:\Users\86186\Desktop\Experimental design\stata4\part1\tz_parent_mapping_final.dta,ward_10,str22,Ward (2010),0,3069,0,1
tz_parent_mapping_final.dta,C:\Users\86186\Desktop\Experimental design\stata4\part1\tz_parent_mapping_final.dta,total_candidates_10,float,Total Candidates in the ward (2010),1397,9,0,0
tz_parent_mapping_final.dta,C:\Users\86186\Desktop\Experimental design\stata4\part1\tz_parent_mapping_final.dta,ward_total_votes_10,float,Total Votes in the ward (2010),1397,1550,0,1
tz_parent_mapping_final.dta,C:\Users\86186\Desktop\Experimental design\stata4\part1\tz_parent_mapping_final.dta,key,str49,,1397,2379,0,0
tz_parent_mapping_final.dta,C:\Users\86186\Desktop\Experimental design\stata4\part1\tz_parent_mapping_final.dta,ward_id_15,float,group(region district ward),1397,2379,0,1
tz_parent_mapping_final.dta,C:\Users\86186\Desktop\Experimental design\stata4\part1\tz_parent_mapping_final.dta,region_15,str13,Region (2015),0,25,0,1
tz_parent_mapping_final.dta,C:\Users\86186\Desktop\Experimental design\stata4\part1\tz_parent_mapping_final.dta,district_15,str28,District (2015),0,178,0,1
tz_parent_mapping_final.dta,C:\Users\86186\Desktop\Experimental design\stata4\part1\tz_parent_mapping_final.dta,ward_15,str22,Ward (2015),0,3473,0,1
tz_parent_mapping_final.dta,C:\Users\86186\Desktop\Experimental design\stata4\part1\tz_parent_mapping_final.dta,total_candidates_15,float,Total Candidates in a Ward,1397,9,0,0
tz_parent_mapping_final.dta,C:\Users\86186\Desktop\Experimental design\stata4\part1\tz_parent_mapping_final.dta,ward_total_votes_15,float,Total Votes in a Ward,1397,1930,0,1
tz_parent_mapping_final.dta,C:\Users\86186\Desktop\Experimental design\stata4\part1\tz_parent_mapping_final.dta,_merge,byte,Matching result from merge,0,1,0,0
tz_parent_mapping_final.dta,C:\Users\86186\Desktop\Experimental design\stata4\part1\tz_parent_mapping_final.dta,match_type,str5,,0,2,0,0
tz_parent_mapping_final.dta,C:\Users\86186\Desktop\Experimental design\stata4\part1\tz_parent_mapping_final.dta,percentage,double,PERCENTAGE,2379,1344,0,0
tz_parent_mapping_final.dta,C:\Users\86186\Desktop\Experimental design\stata4\part1\tz_parent_mapping_final.dta,parent_key,str49,,0,3530,0,0
tz_parent_mapping_final.dta,C:\Users\86186\Desktop\Experimental design\stata4\part1\tz_parent_mapping_final.dta,child_key,str49,,0,3776,1,0
