OBJECTID,GEOID,COUNTYFP,COUNTYNAME,ALAND,AWATER,Threshold,PctPopLI,Shape_Length,Shape_Area
1,510310206001,031,Campbell County,33306036,296358,HUD,0.256,35649.5057560568,52977172.681122
2,510310204011,031,Campbell County,10334965,55998,HUD,0.511,24882.3468247551,16462100.1887841
3,510310203001,031,Campbell County,1607065,1918,HUD,0.543,7379.92497654875,2550295.9416782
4,510310204022,031,Campbell County,2113011,740,HUD,0.319,7580.50663235219,3348835.26818953
5,518000755023,800,Suffolk city,8006317,432849,HUD,0.283,17870.3356866336,13180057.0088117
6,518000758021,800,Suffolk city,57730529,138176,HUD,0.529,49539.8597747024,90048739.2307824
7,518000754052,800,Suffolk city,21963123,406592,HUD,0.218,29035.0297614871,34932884.5320904
8,518000758011,800,Suffolk city,9438891,0,HUD,0.429,19371.4832980957,14673357.2118609
9,518000753021,800,Suffolk city,21609457,4375060,HUD,0.076,34713.9733961893,40685114.5947158
10,518000752021,800,Suffolk city,2491052,90571,HUD,0.076,10093.0905348775,4036841.93242352
11,518000752031,800,Suffolk city,1949523,263922,HUD,0.157,9196.93414517472,3463837.44026996
12,518000753011,800,Suffolk city,3748321,15273278,HUD,0.113,23418.6808245405,29812563.2806986
13,511790102121,179,Stafford County,1660012,0,HUD,0.363,7439.42068828599,2712268.90274548
14,511790101083,179,Stafford County,4002046,0,HUD,0.184,12522.4588322841,6543111.22362843
15,511210215013,121,Montgomery County,8516378,182941,HUD,0.512,30783.4633031308,13714107.2426818
16,511210215011,121,Montgomery County,24933939,39139,HUD,0.358,36512.6396785192,39342024.937442
17,511210215012,121,Montgomery County,88727855,1279432,HUD,0.469,77617.4273729265,141554915.171468
18,511210208011,121,Montgomery County,33133203,25032,HUD,0.425,30331.7590876367,52306815.7791104
19,511210212021,121,Montgomery County,9078851,1910,HUD,0.29,22591.4500336699,14326558.5442413
20,511210213003,121,Montgomery County,67285072,102085,HUD,0.285,54733.3769622815,106528158.857274
21,511210204021,121,Montgomery County,800719,0,HUD,0.894,4710.88301099892,1266031.44103144
22,511210211023,121,Montgomery County,1501895,2047,HUD,0.281,7140.4803465352,2372089.87485044
23,511210212012,121,Montgomery County,76380957,2100154,HUD,0.345,61917.1544708696,124040140.895558
24,511210215021,121,Montgomery County,53544816,348841,HUD,0.214,67733.4141532184,84781384.0441912
25,511210211012,121,Montgomery County,6087076,12203,HUD,0.553,13960.0630728121,9614513.23873959
26,511210212022,121,Montgomery County,26820849,785244,HUD,0.668,41148.6436403589,43551115.1803448
27,511210212011,121,Montgomery County,31009894,163297,HUD,0.328,39584.2831918271,49219986.2827418
28,511210215022,121,Montgomery County,72482911,29751,HUD,0.451,56462.8850547106,114089222.193086
29,511210202022,121,Montgomery County,4509233,1395,HUD,0.524,13601.5833828447,7121992.88074547
30,511210203022,121,Montgomery County,11697250,18696,HUD,0.262,20172.0862513855,18516408.5580756
31,511210203012,121,Montgomery County,184200,326,HUD,0.909,3070.16882984538,291685.941256366
32,511210203013,121,Montgomery County,796738,0,HUD,0.196,5255.96644945777,1259281.59552007
33,511210204012,121,Montgomery County,369932,0,HUD,0.955,3526.99527333424,584792.019360229
34,511210203014,121,Montgomery County,366719,0,HUD,1,3348.2256454787,579586.344737189
35,511210207011,121,Montgomery County,1180218,0,HUD,0.456,7201.69985216619,1864708.86711423
36,511210208013,121,Montgomery County,2463451,290,HUD,0.476,10430.7543089754,3884783.78084702
37,511210206004,121,Montgomery County,9343547,1775,HUD,0.122,21533.0618265681,14767852.1477694
38,511210203021,121,Montgomery County,16382259,2383,HUD,0.13,28275.1103566289,25910848.7912588
39,511210211021,121,Montgomery County,3984679,1855,HUD,0.349,11224.945143145,6290260.41439009
40,511210211011,121,Montgomery County,4285463,3473,HUD,0.136,14705.3533806105,6763650.24318489
41,511210208012,121,Montgomery County,1072672,0,HUD,0.333,7920.16152178949,1690972.76409205
42,511210207012,121,Montgomery County,4707989,1824,HUD,0.595,12040.5478748331,7438580.87963419
43,511210204023,121,Montgomery County,1793483,4451,HUD,0.068,8827.34437412801,2843310.09972136
44,511210203011,121,Montgomery County,615856,862,HUD,0.951,6791.29163087679,974712.767730059
45,511210206003,121,Montgomery County,830207,0,HUD,0.442,7691.52527744766,1312129.94962028
46,511210206001,121,Montgomery County,932266,0,HUD,0.301,7739.7837917962,1472863.59254342
47,511210208022,121,Montgomery County,1198436,0,HUD,0.564,5596.19321788036,1889117.52666936
48,511210208021,121,Montgomery County,977064,431,HUD,0.364,4907.12708702268,1540913.45215927
49,511210207021,121,Montgomery County,1315222,504,HUD,0.746,7866.11730943164,2077919.33141255
50,511210207022,121,Montgomery County,8677217,12925,HUD,0.366,19331.3543718327,13721423.0637764
51,511210207023,121,Montgomery County,327498,291,HUD,0.703,2938.49508377992,517744.513882347
52,511210204022,121,Montgomery County,243417,0,HUD,0.953,2695.03559614858,384825.625416439
53,511210204011,121,Montgomery County,206120,408,HUD,1,2425.778483601,326480.138267742
54,511210211022,121,Montgomery County,1098537,960,HUD,0.201,5289.85752189649,1733775.15677065
55,511210202012,121,Montgomery County,467658,0,HUD,0.835,3457.26850796504,738696.377280735
56,511210202011,121,Montgomery County,148631,4076,HUD,0.517,3133.08466206009,241231.029327018
57,511019501023,101,King William County,24615872,433912,HUD,0.203,32033.7794107619,40171271.9478617
58,511019501011,101,King William County,102870391,1325798,HUD,0.398,85709.2289906341,167022047.661822
59,511019502001,101,King William County,98072654,5801476,HUD,0.637,77944.4153172463,165928028.110485
60,511019502002,101,King William County,160843203,13455301,HUD,0.358,120577.184710613,278258649.239331
61,510539801001,053,Dinwiddie County,52479528,468269,HUD,0,48227.7462095585,83274714.1307696
62,510538403004,053,Dinwiddie County,7378605,112815,HUD,0.555,16384.3002664889,11831382.0446237
63,511076110231,107,Loudoun County,2319134,5136,HUD,0.037,9654.61945388641,3856436.9582855
64,511076110112,107,Loudoun County,528383,0,HUD,0.599,4989.4470907157,877972.204600386
65,511076110093,107,Loudoun County,871752,11346,HUD,0.023,4980.49733075836,1467629.44669548
66,511076110221,107,Loudoun County,853566,23394,HUD,0.284,5270.89548135202,1454546.21714541
67,511076110232,107,Loudoun County,1139741,6001,HUD,0.026,7019.13658547475,1901064.66064618
68,511076110042,107,Loudoun County,731851,3263,HUD,0.199,6957.00876890482,1220726.57380513
69,511330202001,133,Northumberland County,71485061,6317284,HUD,0.448,56970.4088609789,125251056.643327
70,511210201001,121,Montgomery County,2987463,27126,HUD,0,11081.9034731689,4763064.16479181
71,511210202013,121,Montgomery County,2386494,992,HUD,0.801,10398.6905149094,3771224.72772699
72,511210205003,121,Montgomery County,3985553,3925,HUD,0.507,11065.0781620435,6307811.50556888
73,510872001402,087,Henrico County,2428666,21153,HUD,0.152,9960.06370162823,3914835.78420818
74,510310204021,031,Campbell County,3846222,246157,HUD,0.355,12990.8121913018,6481744.90980233
75,518000651002,800,Suffolk city,898379,0,HUD,0.751,6313.83838715668,1401410.89441575
76,518000655002,800,Suffolk city,237094,0,HUD,0.738,3076.5487277893,369791.497885259
77,518000754011,800,Suffolk city,6192433,1504497,HUD,0.231,18166.1333271793,12011268.6532047
78,511790102113,179,Stafford County,1204060,0,HUD,0.505,8599.24184848887,1966574.03838291
79,511790102112,179,Stafford County,1014874,0,HUD,0.053,6274.18819494241,1657484.50393016
80,511790102111,179,Stafford County,677576,6678,HUD,0.731,5379.21095394619,1117800.03218751
81,511790101081,179,Stafford County,889318,0,HUD,0.134,5255.56163345698,1452907.10787316
82,511790104062,179,Stafford County,3159862,0,HUD,0.329,11814.3183862773,5139562.28592329
83,511076112051,107,Loudoun County,473018,0,HUD,0.521,4062.48444932646,785011.266677603
84,511076110233,107,Loudoun County,655099,0,HUD,0.122,4740.82731535368,1086902.33480666
85,511076118031,107,Loudoun County,1164075,25584,HUD,0.212,6768.81939467014,1967005.4048756
86,511076118032,107,Loudoun County,977127,17740,HUD,0.241,6024.92889137885,1645378.36683623
87,511210201002,121,Montgomery County,327746,0,HUD,0,3072.46020478218,517853.203848311
88,511210210001,121,Montgomery County,9212089,18555,HUD,0.451,16945.3846465631,14544012.9388668
89,511210202014,121,Montgomery County,2457392,0,HUD,0.341,10336.9008236379,3881365.25139092
90,517100033001,710,Norfolk city,735506,3978,HUD,0.695,5011.64156947566,1157452.54962424
91,517100058001,710,Norfolk city,336977,0,HUD,0.73,3043.42692150395,528087.640972708
92,517100066022,710,Norfolk city,932198,0,HUD,0.46,4861.8357719823,1461227.61616584
93,517100066061,710,Norfolk city,510778,0,HUD,0.74,5156.52171297276,800524.952824373
94,518000757011,800,Suffolk city,3153610,304226,HUD,0.251,10189.1699909118,5392653.00657703
95,518000754012,800,Suffolk city,3174469,359954,HUD,0.364,17137.9313309197,5516977.02034252
96,511790102053,179,Stafford County,2253115,8472,HUD,0.164,9488.57295375706,3695586.26428563
97,511790102132,179,Stafford County,1141769,0,HUD,0.056,6672.89962095795,1864673.14819124
98,511790103042,179,Stafford County,8691818,45451,HUD,0.301,19376.9850086337,14228455.4862144
99,511790102142,179,Stafford County,1134664,9052,HUD,0.503,5766.93653167757,1868603.48117117
100,511076110223,107,Loudoun County,1255220,3673,HUD,0.056,7548.68662399208,2088035.34739024
101,511076110111,107,Loudoun County,1136405,16300,HUD,0.23,6774.35109347365,1915790.5823305
