table,rowlabel,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,n_missing,flag_many_missing
135,18 AND ABOVE,1193917,,1117029,,76888,,630234,,607582,,22652,,6,1
134,18 AND ABOVE,132215,,104555,27660,,69426,,60337,9089,,62788,44217,4,1
133,18 AND ABOVE,51405,,,37323,,14082,,24890,,21188,,3702,6,1
132,18 AND ABOVE,,67390,,53637,,13753,,33960,,30129,,3831,6,1
131,18 AND ABOVE,,171415,,122694,,48721,,90707,,73439,,17268,6,1
130,18 AND ABOVE,129131,,,93153,,35978,,66362,,53995,,12367,6,1
129,18 AND ABOVE,78068,,59550,,18518,,40337,,33693,,6644,,6,1
128,18 AND ABOVE,,75983,,59223,,16760,,37980,,32260,,5720,6,1
127,OVERALL
18 AND ABOVE,,93028,,74307,,18721,,48764,,43804,,4960,6,1
126,18 AND ABOVE,,92316,,43070,,49246,,47012,,28558,,18454,6,1
125,18 AND ABOVE,,46896,,35699,,11197,,24926,,20759,,4167,6,1
124,18 AND ABOVE,,121542,,76960,,44582,,60710,,51132,,9578,6,1
123,18 AND ABOVE,,986488,,733230,,253258,,520885,,432984,,87901,6,1
122,18 AND ABOVE,297329,,214705,,82624,,149332,,124664,,,24668,6,1
121,18 AND ABOVE,84777,68882,15895,43798,39149,4649,40976,29730,11246,3,3,,1,0
120,18 AND ABOVE,,302228,,170627,,131601,,156725,,109567,,,7,1
119,18 AND ABOVE,99918,74013,25905,52308,43376,,8932,47603,30632,16971,7,5,1,0
118,18 AND ABOVE,87477,,,60799,,26678,,43052,,35755,,7297,6,1
117,18 AND ABOVE,210395,,143627,,66768,,103265,,84155,,19110,,6,1
116,18 AND ABOVE,139702,,88969,,50733,,72124,,55739,,16385,,6,1
115,18 AND ABOVE,,65523,,39625,,25898,,32512,,23886,,8626,6,1
114,18 AND ABOVE,,229578,,173374,,56204,,113253,,95376,,17877,6,1
113,18 AND ABOVE,120620,94522,26098,59608,50034,9574,,60990,44472,16518,22,16,1,0
112,18 AND ABOVE,428336,,360036,,68300,,226665,,194649,,,32016,6,1
111,18 AND ABOVE,,140076,,121489,,18587,,76881,,70102,,6779,6,1
110,18 AND ABOVE,71305,,43801,,27504,,35685,,24343,,11342,,6,1
109,18 AND ABOVE,,119636,,81226,,38410,,61330,,49267,,12063,6,1
108,18 AND ABOVE,,295094,,232711,,62383,,153903,,134865,,19038,6,1
107,18 AND ABOVE,,333610,,193883,,139727,,168925,,115174,,53751,6,1
106,18 AND ABOVE,71599,,,57208,,14391,,36109,,31410,,4699,6,1
105,18 AND ABOVE,159914,,110129,,49785,,79783,,62151,,17632,,6,1
104,18 AND ABOVE,57916,,45247,,12669,,29273,,25889,,3384,,6,1
103,18 AND ABOVE,,816645,641700,,174945,,413088,,353508,,59580,,6,1
102,18 AND ABOVE,,812037,,640716,,171321,,409970,,352008,,57962,6,1
101,18 AND ABOVE,1024833,780616,244217,520335,432273,,88062,,504271,348178,156093,227,2,0
100,18 AND ABOVE,,524152,,411496,,112656,,265544,,221433,,44111,6,1
99,18 AND ABOVE,,695099,,537609,,157490,,351376,,296873,,54503,6,1
98,18 AND ABOVE,,767748,,578536,,189212,,388970,,320480,,68490,6,1
97,18 AND ABOVE,1089827,,884925,,204902,,594126,,534741,,59385,,6,1
96,18 AND ABOVE,1580387,1291802,288585,833610,754296,,79314,746296,537177,209119,,481,2,0
95,18 AND ABOVE,2196684,1634653,562031,1169543,1008503,161040,1026777,625936,400841,,364,,2,0
94,18 AND ABOVE,1133418,956709,176709,602014,552651,,49363,,531218,403933,127285,186,2,0
93,OVERALL
18 AND ABOVE,,,1734987,1478930,256057,913304,837396,,75908,821194,641199,179995,3,1
92,18 AND ABOVE,1871033,,,1553075,,317958,,974756,,882376,,92380,6,1
91,18 AND ABOVE,,504726,,383417,,121309,,260193,,212144,,48049,6,1
90,18 AND ABOVE,,,343779,,232675,111104,174264,129676,,44588,169433,102954,4,1
89,18 AND ABOVE,,421654,319379,102275,,213795,173896,,39899,207750,145407,,4,1
