village,hhid,pixel,payout
HAWONO,120507101,KE3631,1
HAWONO,120507102,KE3631,1
HAWONO,120507103,KE3631,1
HAWONO,120507104,KE3632,1
HAWONO,120507111,KE3632,1
ORAWO,120508202,KE3632,1
ORAWO,120508203,KE3632,1
ORAWO,120508204,KE3632,1
ORAWO,120508206,KE3632,1
ORAWO,120508208,KE3632,1
ORAWO,120508209,KE3631,1
OGUDA 'A',120610602,KE3631,1
OGUDA 'A',120610604,KE3631,1
OGUDA 'A',120610605,KE3631,1
OGUDA 'A',120610609,KE3632,1
SIND,120611101,KE3631,1
SIND,120611102,KE3557,1
SIND,120611108,KE3631,1
LINGANYIRO 'B',120813801,KE3631,1
LINGANYIRO 'B',120813803,KE3632,1
LINGANYIRO 'B',120813804,KE3632,1
LINGANYIRO 'B',120813807,KE3632,1
LINGANYIRO 'B',120813811,KE3632,1
ONYANGO 'A',120814901,KE3631,1
ONYANGO 'A',120814903,KE3632,1
ONYANGO 'A',120814907,KE3631,1
ONYANGO 'A',120814911,KE3631,1
UKAKA 'A',131120506,KE3557,1
UKAKA 'A',131120509,KE3557,1
UKAKA 'A',131120510,KE3631,1
UKANDA 'B',131221901,KE3557,1
UKANDA 'B',131221904,KE3557,1
UKANDA 'B',131221905,KE3631,1
UKANDA 'B',131221909,KE3557,1
UKANDA 'B',131221912,KE3631,1
LUNGA,131424204,KE3631,1
LUNGA,131424205,KE3631,1
LUNGA,131424206,KE3557,1
LUNGA,131424211,KE3557,1
SKALA,131424602,KE3631,1
SKALA,131424604,KE3631,1
SKALA,131424609,KE3557,1
SKALA,131424610,KE3631,1
MALOMBA,141728101,KE3557,1
MALOMBA,141728102,KE3631,1
MALOMBA,141728103,KE3631,1
MALOMBA,141728108,KE3631,1
KISENYE,131336101,KE3631,1
KISENYE,131336107,KE3557,1
KISENYE,131336109,KE3557,1
