sheet_id,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
1,549366,549366,549366,549366,549366,549366,549366,549366,549366,549366,549366,549366
2,405242,405242,405242,405242,405242,405242,405242,405242,405242,405242,405242,405242
3,797908,797908,797908,797908,797908,797908,797908,797908,797908,797908,797908,797908
4,179183,179183,179183,179183,179183,179183,179183,179183,179183,179183,179183,179183
5,769115,769115,769115,769115,769115,769115,769115,769115,769115,769115,769115,769115
6,219233,219233,219233,219233,219233,219233,219233,219233,219233,219233,219233,219233
7,582585,582585,582585,582585,582585,582585,582585,582585,582585,582585,582585,582585
8,809129,809129,809129,809129,809129,809129,809129,809129,809129,809129,809129,809129
9,78463,78463,78463,78463,78463,78463,78463,78463,78463,78463,78463,78463
10,346656,346656,346656,346656,346656,346656,346656,346656,346656,346656,346656,346656
11,238869,238869,238869,238869,238869,238869,238869,238869,238869,238869,238869,238869
12,348037,348037,348037,348037,348037,348037,348037,348037,348037,348037,348037,348037
13,514059,514059,514059,514059,514059,514059,514059,514059,514059,514059,514059,514059
14,1201012,1201012,1201012,1201012,1201012,1201012,1201012,1201012,1201012,1201012,1201012,1201012
15,844701,844701,844701,844701,844701,844701,844701,844701,844701,844701,844701,844701
16,805875,805875,805875,805875,805875,805875,805875,805875,805875,805875,805875,805875
17,770192,770192,770192,770192,770192,770192,770192,770192,770192,770192,770192,770192
18,2045034,2045034,2045034,2045034,2045034,2045034,2045034,2045034,2045034,2045034,2045034,2045034
19,416283,416283,416283,416283,416283,416283,416283,416283,416283,416283,416283,416283
20,245314,245314,245314,245314,245314,245314,245314,245314,245314,245314,245314,245314
21,339747,339747,339747,339747,339747,339747,339747,339747,339747,339747,339747,339747
22,1105968,1105968,1105968,1105968,1105968,1105968,1105968,1105968,1105968,1105968,1105968,1105968
23,658459,658459,658459,658459,658459,658459,658459,658459,658459,658459,658459,658459
24,400062,400062,400062,400062,400062,400062,400062,400062,400062,400062,400062,400062
25,354839,354839,354839,354839,354839,354839,354839,354839,354839,354839,354839,354839
26,407706,407706,407706,407706,407706,407706,407706,407706,407706,407706,407706,407706
27,287718,287718,287718,287718,287718,287718,287718,287718,287718,287718,287718,287718
28,213033,213033,213033,213033,213033,213033,213033,213033,213033,213033,213033,213033
29,243839,243839,243839,243839,243839,243839,243839,243839,243839,243839,243839,243839
30,111966,111966,111966,111966,111966,111966,111966,111966,111966,111966,111966,111966
31,298848,298848,298848,298848,298848,298848,298848,298848,298848,298848,298848,298848
32,463840,463840,463840,463840,463840,463840,463840,463840,463840,463840,463840,463840
33,19738,19738,19738,19738,19738,19738,19738,19738,19738,19738,19738,19738
34,29401,29401,29401,29401,29401,29401,29401,29401,29401,29401,29401,29401
35,61128,61128,61128,61128,61128,61128,61128,61128,61128,61128,61128,61128
36,11498,11498,11498,11498,11498,11498,11498,11498,11498,11498,11498,11498
37,32762,32762,32762,32762,32762,32762,32762,32762,32762,32762,32762,32762
38,17011,17011,17011,17011,17011,17011,17011,17011,17011,17011,17011,17011
39,1126284,1126284,1126284,1126284,1126284,1126284,1126284,1126284,1126284,1126284,1126284,1126284
40,917465,917465,917465,917465,917465,917465,917465,917465,917465,917465,917465,917465
41,745729,745729,745729,745729,745729,745729,745729,745729,745729,745729,745729,745729
42,3263230,3263230,3263230,3263230,3263230,3263230,3263230,3263230,3263230,3263230,3263230,3263230
43,888266,888266,888266,888266,888266,888266,888266,888266,888266,888266,888266,888266
44,750010,750010,750010,750010,750010,750010,750010,750010,750010,750010,750010,750010
45,2118500,2118500,2118500,2118500,2118500,2118500,2118500,2118500,2118500,2118500,2118500,2118500
46,866295,866295,866295,866295,866295,866295,866295,866295,866295,866295,866295,866295
47,2840993,2840993,2840993,2840993,2840993,2840993,2840993,2840993,2840993,2840993,2840993,2840993
48,1613380,1613380,1613380,1613380,1613380,1613380,1613380,1613380,1613380,1613380,1613380,1613380
49,646050,646050,646050,646050,646050,646050,646050,646050,646050,646050,646050,646050
50,911690,911690,911690,911690,911690,911690,911690,911690,911690,911690,911690,911690
51,913043,913043,913043,913043,913043,913043,913043,913043,913043,913043,913043,913043
52,2200828,2200828,2200828,2200828,2200828,2200828,2200828,2200828,2200828,2200828,2200828,2200828
53,6672332,6672332,6672332,6672332,6672332,6672332,6672332,6672332,6672332,6672332,6672332,6672332
54,1872357,1872357,1872357,1872357,1872357,1872357,1872357,1872357,1872357,1872357,1872357,1872357
55,760366,760366,760366,760366,760366,760366,760366,760366,760366,760366,760366,760366
56,1935854,1935854,1935854,1935854,1935854,1935854,1935854,1935854,1935854,1935854,1935854,1935854
57,4574257,4574257,4574257,4574257,4574257,4574257,4574257,4574257,4574257,4574257,4574257,4574257
58,754100,754100,754100,754100,754100,754100,754100,754100,754100,754100,754100,754100
59,1466734,1466734,1466734,1466734,1466734,1466734,1466734,1466734,1466734,1466734,1466734,1466734
60,1246391,1246391,1246391,1246391,1246391,1246391,1246391,1246391,1246391,1246391,1246391,1246391
61,1438265,1438265,1438265,1438265,1438265,1438265,1438265,1438265,1438265,1438265,1438265,1438265
62,1675569,1675569,1675569,1675569,1675569,1675569,1675569,1675569,1675569,1675569,1675569,1675569
63,994194,994194,994194,994194,994194,994194,994194,994194,994194,994194,994194,994194
64,1616190,1616190,1616190,1616190,1616190,1616190,1616190,1616190,1616190,1616190,1616190,1616190
65,1960579,1960579,1960579,1960579,1960579,1960579,1960579,1960579,1960579,1960579,1960579,1960579
66,2459918,2459918,2459918,2459918,2459918,2459918,2459918,2459918,2459918,2459918,2459918,2459918
67,1348359,1348359,1348359,1348359,1348359,1348359,1348359,1348359,1348359,1348359,1348359,1348359
68,928778,928778,928778,928778,928778,928778,928778,928778,928778,928778,928778,928778
69,943089,943089,943089,943089,943089,943089,943089,943089,943089,943089,943089,943089
70,2105533,2105533,2105533,2105533,2105533,2105533,2105533,2105533,2105533,2105533,2105533,2105533
