region_10,district_10,constituency_10,ward_10,total_candidates_10,ward_total_votes_10,ward_id_10,votes_AFP_10,votes_CCM_10,votes_CHADEMA_10,votes_CHAUSTA_10,votes_CUF_10,votes_DP_10,votes_JAHAZI_ASILIA_10,votes_NCCR_MAGEUZI_10,votes_NLD_10,votes_NRA_10,votes_other_10,votes_SAU_10,votes_TADEA_10,votes_TLP_10,votes_UDP_10,votes_UMD_10,votes_UPDP_10
jiji la arusha,arusha  mjini,baraa,odero charles oderos,1,907,51,,,907,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,baraa,paulo lotha laizer,1,1266,53,,1266,,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,daraja ii,james peter ngungah ndarivoi,1,107,27,,,,,,,,107,,,,,,,,,
jiji la arusha,arusha  mjini,daraja ii,makanzo rwelemela makanzo,1,574,38,,,,,,,,,,,,,,574,,,
jiji la arusha,arusha  mjini,daraja ii,msangi bashiri swedi,1,3520,46,,3520,,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,daraja ii,solomon daniel kitashu,1,2396,64,,,2396,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,elerai,bayo john gilbert,1,4630,8,,,4630,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,elerai,laizer losioki moikani,1,4063,33,,4063,,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,elerai,mbogo isaya loda,1,109,43,,,,,,,,,,,,,,109,,,
jiji la arusha,arusha  mjini,engutoto,alfred kimani mollel,1,763,4,,763,,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,engutoto,elibariki michael malley,1,848,15,,,848,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,engutoto,samwel anthon muniko,1,16,61,,,,,,,,,,,,,,16,,,
jiji la arusha,arusha  mjini,kaloleni,abdallah shaaban said,1,181,1,,,,,181,,,,,,,,,,,,
jiji la arusha,arusha  mjini,kaloleni,charles philipo mpanda,1,2969,9,,,2969,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,kaloleni,chogga mwahija khalfani,1,79,11,,,,,,,,,,,,,,79,,,
jiji la arusha,arusha  mjini,kaloleni,kileo jubilate shileitiwa,1,1648,32,,1648,,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,kaloleni,ngilisho simon pauli,1,7,49,,,,,,,,,,,7,,,,,,
jiji la arusha,arusha  mjini,kati,abdi abdulrasul tojo,1,1398,2,,1398,,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,kati,hassani juma shepasy,1,13,21,,,,,13,,,,,,,,,,,,
jiji la arusha,arusha  mjini,kati,maabadi mohamedi ramadhani,1,7,37,,,,,,,,,,,,,,7,,,
jiji la arusha,arusha  mjini,kati,malack mbora lema,1,14,39,,,,,,,,,,,14,,,,,,
jiji la arusha,arusha  mjini,kati,simba seif salum,1,626,62,,,626,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,kimandolu,elieza stephano mlaki,1,19,16,,,,,,,,,,,,,,19,,,
jiji la arusha,arusha  mjini,kimandolu,heddi lawrence kilua,1,1558,22,,1558,,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,kimandolu,mallah estomih jonas,1,5870,40,,,5870,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,lemara,karim ephram moshi,1,1971,30,,1971,,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,lemara,viola lazaro likindikoki,1,1668,65,,,1668,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,levolosi,ally vuai makame,1,98,5,,,,,98,,,,,,,,,,,,
jiji la arusha,arusha  mjini,levolosi,amosi ndeshiso mwanga,1,1776,7,,1776,,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,levolosi,ester salimu msuya,1,31,17,,,,,,,,,,,31,,,,,,
jiji la arusha,arusha  mjini,levolosi,leila hamisi ramadhani,1,28,34,,,,,,,,,,28,,,,,,,
jiji la arusha,arusha  mjini,levolosi,lugendo allan benjamin,1,77,36,,,,,,,,,,,,,,77,,,
jiji la arusha,arusha  mjini,levolosi,nanyaro ephata japhet,1,2530,48,,,2530,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,moshono,masamaki emmanuel mollel,1,1263,42,,,1263,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,moshono,paul peter matthyesen,1,2344,52,,2344,,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,moshono,peter shirima boysafi,1,29,55,,,,,,,,,,,,,,29,,,
jiji la arusha,arusha  mjini,ngarenaro,isack anandumi mushi,1,2033,24,,2033,,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,ngarenaro,isaya doita harri,1,3250,25,,,3250,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,ngarenaro,rashid ameir mdungu,1,112,56,,,,,,,,,,,,,,112,,,
jiji la arusha,arusha  mjini,ngarenaro,zaruna issa,1,56,66,,,,,,,,,,,,,56,,,,
jiji la arusha,arusha  mjini,olasiti,golugwa peter rashid,1,262,20,,,,,,,,,,,,,,262,,,
jiji la arusha,arusha  mjini,olasiti,katamboi ishmael olodi,1,2176,31,,2176,,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,olasiti,rehema mohamed selemani,1,1870,58,,,1870,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,oloirien,gaudence vincent lyimo,1,2694,18,,2694,,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,oloirien,sabina francis peter,1,1684,60,,,1684,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,sekei,chrispin p tarimo,1,1793,12,,,1793,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,sekei,mushi agrey shitaeli,1,1437,47,,1437,,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,sekei,sirikwa emmanuel petro,1,157,63,,,,,,,,157,,,,,,,,,
jiji la arusha,arusha  mjini,sokoni,kalisti lazaro burkhay,1,2878,29,,2878,,,,,,,,,,,,,,,
jiji la arusha,arusha  mjini,sokoni,michael ngokoni kivuyo,1,7907,45,,,,,,,,,,,,,,7907,,,
jiji la arusha,arusha  mjini,sokoni,rashid jaralya mkama,1,139,57,,,,,,,,,,139,,,,,,,
jiji la arusha,arusha  mjini,sombetini,alphonce chemu mawazo,1,4002,6,,4002,,,,,,,,,,,,,,,
