ward_id_15,region_15,district_15,ward_15,region_10,district_10,ward_10,parent_overlap_pct,ward_id_10
1,arusha,jiji la arusha,baraa,,,,,
2,arusha,jiji la arusha,daraja ii,,,,,
3,arusha,jiji la arusha,elerai,,,,,
4,arusha,jiji la arusha,engutoto,,,,,
5,arusha,jiji la arusha,kaloleni,,,,,
6,arusha,jiji la arusha,kati,,,,,
7,arusha,jiji la arusha,kimandolu,,,,,
8,arusha,jiji la arusha,lemara,,,,,
9,arusha,jiji la arusha,levolosi,,,,,
10,arusha,jiji la arusha,moivaro,,,,,
11,arusha,jiji la arusha,moshono,,,,,
12,arusha,jiji la arusha,muriet,,,,,
13,arusha,jiji la arusha,ngarenaro,,,,,
14,arusha,jiji la arusha,olasiti,,,,,
15,arusha,jiji la arusha,olmoti,,,,,
16,arusha,jiji la arusha,oloirien,,,,,
17,arusha,jiji la arusha,osunyai jr,,,,,
18,arusha,jiji la arusha,sakina,,,,,
19,arusha,jiji la arusha,sekei,,,,,
20,arusha,jiji la arusha,sinoni,,,,,
21,arusha,jiji la arusha,sokoni i,,,,,
22,arusha,jiji la arusha,sombetini,,,,,
23,arusha,jiji la arusha,terrat,,,,,
24,arusha,jiji la arusha,themi,,,,,
25,arusha,jiji la arusha,unga limited,,,,,
26,arusha,wilaya ya arusha,bangata,,,,,
27,arusha,wilaya ya arusha,bwawani,,,,,
28,arusha,wilaya ya arusha,ilboru,,,,,
29,arusha,wilaya ya arusha,ilkiding a,,,,,
30,arusha,wilaya ya arusha,kimnyaki,,,,,
31,arusha,wilaya ya arusha,kiranyi,,,,,
32,arusha,wilaya ya arusha,kisongo,,,,,
33,arusha,wilaya ya arusha,kiutu,,,,,
34,arusha,wilaya ya arusha,laroi,,,,,
35,arusha,wilaya ya arusha,lemanyata,,,,,
36,arusha,wilaya ya arusha,mateves,,,,,
37,arusha,wilaya ya arusha,mlangarini,,,,,
38,arusha,wilaya ya arusha,moivo,,,,,
39,arusha,wilaya ya arusha,musa,,,,,
40,arusha,wilaya ya arusha,mwandet,,,,,
41,arusha,wilaya ya arusha,nduruma,,,,,
43,arusha,wilaya ya arusha,oldonyosambu,,,,,
42,arusha,wilaya ya arusha,oldonyowass,,,,,
44,arusha,wilaya ya arusha,olerien,,,,,
45,arusha,wilaya ya arusha,oljoro,,,,,
46,arusha,wilaya ya arusha,olkokola,,,,,
47,arusha,wilaya ya arusha,olmotonyi,,,,,
48,arusha,wilaya ya arusha,oltrumet,,,,,
49,arusha,wilaya ya arusha,olturoto,,,,,
50,arusha,wilaya ya arusha,sambasha,,,,,
51,arusha,wilaya ya arusha,sokoni ii,,,,,
52,arusha,wilaya ya arusha,tarakwa,,,,,
53,arusha,wilaya ya karatu,baray,,,,,
54,arusha,wilaya ya karatu,buger,,,,,
55,arusha,wilaya ya karatu,daa,,,,,
56,arusha,wilaya ya karatu,endabash,,,,,
57,arusha,wilaya ya karatu,endamaghang,,,,,
58,arusha,wilaya ya karatu,endamarariek,,,,,
59,arusha,wilaya ya karatu,ganako,,,,,
60,arusha,wilaya ya karatu,kansay,,,,,
61,arusha,wilaya ya karatu,karatu,,,,,
62,arusha,wilaya ya karatu,mangola,,,,,
63,arusha,wilaya ya karatu,mbulumbulu,,,,,
64,arusha,wilaya ya karatu,oldeani,,,,,
65,arusha,wilaya ya karatu,qurus,,,,,
66,arusha,wilaya ya karatu,rhotia,,,,,
