sample_size,part,mean_beta,mean_sem,mean_ci_width,sd_beta
4,2,1.4865525,1.4163449,12.188081,2.3026333
8,2,1.4859161,.83736813,4.0979319,.89204109
10,1,1.5391456,.69993383,3.2281005,.78943735
10,2,1.5022415,.70895988,3.2697289,.78216934
16,2,1.5093868,.54014736,2.3170018,.55582172
32,2,1.4945246,.37196675,1.5193149,.37132457
64,2,1.5040065,.25341424,1.0131357,.25977662
100,1,1.5084735,.20551959,.81569386,.21326064
100,2,1.4942472,.20267944,.80442154,.19661534
128,2,1.5007322,.17837292,.70598954,.17757867
256,2,1.5015604,.12538125,.49383852,.12964636
512,2,1.4979478,.088410586,.34738752,.094340712
1000,1,1.5229989,.064111724,.25161847,.064047426
1000,2,1.500069,.063281059,.2483584,.066107668
1024,2,1.50132,.062505342,.24530695,.057744388
2048,2,1.5006131,.044222999,.17345357,.04349057
4096,2,1.5005947,.031259455,.12257105,.031915836
8192,2,1.501883,.022114456,.086699888,.022216337
10000,1,1.5202848,.020254843,.079407096,0
10000,2,1.5005394,.020004123,.078424215,.020533264
16384,2,1.4993224,.015621979,.061241552,.015170062
32768,2,1.5002102,.011051876,.043324158,.011127654
65536,2,1.499885,.0078104474,.030616958,.0081050294
100000,2,1.4994174,.0063244235,.024791589,.0061967191
131072,2,1.5005386,.005524016,.021653948,.0052997959
262144,2,1.4998106,.0039061476,.015311891,.0037213408
524288,2,1.5000421,.0027621966,.010827636,.0027407622
1000000,2,1.5000482,.0020000136,.0078399163,.0019424871
1048576,2,1.5000776,.0019530911,.0076559847,.0018261486
2097152,2,1.4999681,.0013810425,.0054135895,.0013679997
