N_clusters,power,mean_beta,mean_sem
20,.132,.21356311,.25293222
30,.148,.19008161,.20903969
40,.206,.19699471,.18179955
50,.226,.19513074,.16419761
60,.28600001,.21265002,.15008855
70,.31200001,.20547606,.13950045
80,.322,.19697152,.13112414
90,.37,.19851018,.12258216
100,.396,.19301987,.11622171
120,.50599998,.20588005,.10653712
140,.498,.19739297,.098711282
160,.55400002,.19360858,.092781901
180,.63999999,.20312005,.087206021
200,.66600001,.20163792,.082976528
220,.67799997,.19633657,.079533197
240,.74199998,.19973998,.075945824
260,.80800003,.20246203,.072944209
280,.79400003,.19784839,.070243999
300,.84600002,.20098813,.067888677
350,.87800002,.19958791,.062784202
400,.954,.20349275,.058868255
