N_clusters,power,mean_beta,mean_sem
20,.096000001,.14180022,.25175324
30,.097999997,.12851878,.21056092
40,.14,.14172924,.18365124
50,.14,.14595947,.16439322
60,.15800001,.14536896,.15243268
70,.17399999,.14620028,.14005193
80,.16,.12693085,.13263704
90,.212,.13786663,.12372676
100,.19400001,.13591996,.11722045
120,.25999999,.14565882,.10737281
140,.296,.1426789,.099496879
160,.31400001,.1385116,.093511686
180,.34999999,.14198919,.087932482
200,.37200001,.13720419,.083479509
220,.428,.1417968,.079576336
240,.458,.14229012,.076410681
260,.48800001,.14374022,.073442005
280,.50599998,.13660379,.07050816
300,.49599999,.1363765,.068241112
350,.60399997,.13742611,.062927686
400,.64200002,.14087412,.059149314
